step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,7.7807,7.7351,1.46e+14,1.46e+14,819200
200,6.8008,6.9627,2.92e+14,2.93e+14,1638400
300,6.4681,6.5253,4.38e+14,4.39e+14,2457600
400,6.1343,6.2672,5.83e+14,5.85e+14,3276800
500,6.1995,6.0654,7.29e+14,7.31e+14,4096000
600,5.8102,5.9164,8.75e+14,8.78e+14,4915200
700,5.8152,5.8102,1.02e+15,1.02e+15,5734400
800,5.5077,5.7120,1.17e+15,1.17e+15,6553600
900,5.5176,5.6381,1.31e+15,1.32e+15,7372800
1000,5.4249,5.5660,1.46e+15,1.46e+15,8192000
1100,5.2651,5.5059,1.60e+15,1.61e+15,9011200
1200,5.4527,5.4554,1.75e+15,1.76e+15,9830400
1300,5.2820,5.4099,1.90e+15,1.90e+15,10649600
1400,5.3531,5.3666,2.04e+15,2.05e+15,11468800
1500,5.3253,5.3256,2.19e+15,2.19e+15,12288000
1600,5.2421,5.2935,2.33e+15,2.34e+15,13107200
1700,5.3376,5.2567,2.48e+15,2.49e+15,13926400
1800,5.0894,5.2251,2.63e+15,2.63e+15,14745600
1900,5.1404,5.1920,2.77e+15,2.78e+15,15564800
2000,5.0368,5.1614,2.92e+15,2.93e+15,16384000
2100,5.1524,5.1341,3.06e+15,3.07e+15,17203200
2200,4.9611,5.1106,3.21e+15,3.22e+15,18022400
2300,4.8826,5.0840,3.35e+15,3.36e+15,18841600
2400,4.8969,5.0617,3.50e+15,3.51e+15,19660800
2500,4.8159,5.0404,3.65e+15,3.66e+15,20480000
2600,4.9829,5.0205,3.79e+15,3.80e+15,21299200
2700,4.8670,5.0023,3.94e+15,3.95e+15,22118400
2800,4.8332,4.9861,4.08e+15,4.10e+15,22937600
2900,4.9355,4.9728,4.23e+15,4.24e+15,23756800
3000,4.9159,4.9582,4.38e+15,4.39e+15,24576000
3100,4.9206,4.9457,4.52e+15,4.53e+15,25395200
3200,4.8070,4.9357,4.67e+15,4.68e+15,26214400
3300,4.8057,4.9263,4.81e+15,4.83e+15,27033600
3400,4.6790,4.9174,4.96e+15,4.97e+15,27852800
3500,4.9663,4.9099,5.10e+15,5.12e+15,28672000
3600,4.7532,4.9035,5.25e+15,5.27e+15,29491200
