step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,7.3140,7.4918,8.07e+12,8.32e+12,819200
200,6.8271,6.7698,1.61e+13,1.66e+13,1638400
300,6.5181,6.4957,2.42e+13,2.50e+13,2457600
400,6.2661,6.3251,3.23e+13,3.33e+13,3276800
500,6.2802,6.2177,4.03e+13,4.16e+13,4096000
600,6.0672,6.1358,4.84e+13,4.99e+13,4915200
700,6.0358,6.0749,5.65e+13,5.82e+13,5734400
800,5.9326,6.0194,6.45e+13,6.65e+13,6553600
900,5.9962,5.9818,7.26e+13,7.49e+13,7372800
1000,5.7795,5.9400,8.07e+13,8.32e+13,8192000
1100,5.8891,5.9133,8.87e+13,9.15e+13,9011200
1200,5.7952,5.8838,9.68e+13,9.98e+13,9830400
1300,5.7618,5.8609,1.05e+14,1.08e+14,10649600
1400,5.8488,5.8362,1.13e+14,1.16e+14,11468800
1500,5.8165,5.8188,1.21e+14,1.25e+14,12288000
1600,5.6878,5.8001,1.29e+14,1.33e+14,13107200
1700,5.7604,5.7862,1.37e+14,1.41e+14,13926400
1800,5.6583,5.7762,1.45e+14,1.50e+14,14745600
1900,5.6662,5.7678,1.53e+14,1.58e+14,15564800
