step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,6.9520,7.1348,1.24e+13,1.27e+13,819200
200,6.7502,6.6947,2.48e+13,2.53e+13,1638400
300,6.4515,6.4418,3.72e+13,3.80e+13,2457600
400,6.2462,6.3019,4.96e+13,5.06e+13,3276800
500,6.2563,6.1970,6.20e+13,6.33e+13,4096000
600,6.0696,6.1213,7.44e+13,7.60e+13,4915200
700,6.0318,6.0566,8.68e+13,8.86e+13,5734400
800,5.9048,5.9952,9.92e+13,1.01e+14,6553600
900,5.9527,5.9448,1.12e+14,1.14e+14,7372800
1000,5.7342,5.9005,1.24e+14,1.27e+14,8192000
1100,5.8432,5.8696,1.36e+14,1.39e+14,9011200
1200,5.7351,5.8308,1.49e+14,1.52e+14,9830400
1300,5.7033,5.8032,1.61e+14,1.65e+14,10649600
1400,5.8002,5.7716,1.74e+14,1.77e+14,11468800
1500,5.7437,5.7481,1.86e+14,1.90e+14,12288000
1600,5.5894,5.7187,1.98e+14,2.03e+14,13107200
1700,5.6706,5.6976,2.11e+14,2.15e+14,13926400
1800,5.5355,5.6831,2.23e+14,2.28e+14,14745600
1900,5.5480,5.6700,2.36e+14,2.41e+14,15564800
