step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,7.3351,7.5128,4.20e+13,4.23e+13,819200
200,6.7848,6.7106,8.39e+13,8.45e+13,1638400
300,6.3863,6.3586,1.26e+14,1.27e+14,2457600
400,6.0744,6.1392,1.68e+14,1.69e+14,3276800
500,6.0683,5.9946,2.10e+14,2.11e+14,4096000
600,5.7996,5.8788,2.52e+14,2.54e+14,4915200
700,5.7621,5.7857,2.94e+14,2.96e+14,5734400
800,5.6267,5.7052,3.36e+14,3.38e+14,6553600
900,5.6773,5.6461,3.78e+14,3.80e+14,7372800
1000,5.3950,5.5808,4.20e+14,4.23e+14,8192000
1100,5.4944,5.5341,4.62e+14,4.65e+14,9011200
1200,5.3614,5.4904,5.04e+14,5.07e+14,9830400
1300,5.3596,5.4531,5.46e+14,5.49e+14,10649600
1400,5.4245,5.4176,5.87e+14,5.92e+14,11468800
1500,5.3960,5.3878,6.29e+14,6.34e+14,12288000
1600,5.2300,5.3621,6.71e+14,6.76e+14,13107200
1700,5.3435,5.3409,7.13e+14,7.18e+14,13926400
1800,5.1820,5.3261,7.55e+14,7.61e+14,14745600
1900,5.1987,5.3142,7.97e+14,8.03e+14,15564800
