step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,10.0911,10.0854,1.46e+14,1.46e+14,819200
200,8.8882,8.9231,2.92e+14,2.93e+14,1638400
300,7.7251,7.7578,4.38e+14,4.39e+14,2457600
400,7.2226,7.3172,5.83e+14,5.85e+14,3276800
500,7.1775,7.0486,7.29e+14,7.31e+14,4096000
600,6.7780,6.8302,8.75e+14,8.78e+14,4915200
700,6.6051,6.6742,1.02e+15,1.02e+15,5734400
800,6.3947,6.5549,1.17e+15,1.17e+15,6553600
900,6.4838,6.4667,1.31e+15,1.32e+15,7372800
1000,6.2481,6.3894,1.46e+15,1.46e+15,8192000
1100,6.0781,6.3217,1.60e+15,1.61e+15,9011200
1200,6.2873,6.2651,1.75e+15,1.76e+15,9830400
1300,6.1928,6.2142,1.90e+15,1.90e+15,10649600
1400,6.2014,6.1701,2.04e+15,2.05e+15,11468800
1500,6.1465,6.1277,2.19e+15,2.19e+15,12288000
1600,6.0593,6.0960,2.33e+15,2.34e+15,13107200
1700,6.2143,6.0605,2.48e+15,2.49e+15,13926400
1800,5.8806,6.0312,2.63e+15,2.63e+15,14745600
1900,6.0235,6.0053,2.77e+15,2.78e+15,15564800
2000,5.9412,5.9800,2.92e+15,2.93e+15,16384000
2100,6.0424,5.9574,3.06e+15,3.07e+15,17203200
2200,5.7688,5.9382,3.21e+15,3.22e+15,18022400
2300,5.7774,5.9180,3.35e+15,3.36e+15,18841600
2400,5.7843,5.9030,3.50e+15,3.51e+15,19660800
2500,5.8771,5.8897,3.65e+15,3.66e+15,20480000
2600,5.8671,5.8762,3.79e+15,3.80e+15,21299200
2700,5.8532,5.8636,3.94e+15,3.95e+15,22118400
2800,5.7119,5.8550,4.08e+15,4.10e+15,22937600
2900,5.9162,5.8455,4.23e+15,4.24e+15,23756800
3000,5.8381,5.8381,4.38e+15,4.39e+15,24576000
3100,5.8572,5.8310,4.52e+15,4.53e+15,25395200
3200,5.7342,5.8257,4.67e+15,4.68e+15,26214400
3300,5.8289,5.8204,4.81e+15,4.83e+15,27033600
3400,5.6037,5.8161,4.96e+15,4.97e+15,27852800
3500,5.8698,5.8119,5.10e+15,5.12e+15,28672000
3600,5.7997,5.8079,5.25e+15,5.27e+15,29491200
