step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,8.8310,8.8807,1.71e+13,1.74e+13,819200
200,7.4909,7.4175,3.42e+13,3.47e+13,1638400
300,6.9140,6.8922,5.13e+13,5.21e+13,2457600
400,6.5605,6.6253,6.84e+13,6.95e+13,3276800
500,6.5463,6.4520,8.55e+13,8.68e+13,4096000
600,6.2673,6.3228,1.03e+14,1.04e+14,4915200
700,6.1908,6.2253,1.20e+14,1.22e+14,5734400
800,6.0639,6.1430,1.37e+14,1.39e+14,6553600
900,6.1223,6.0802,1.54e+14,1.56e+14,7372800
1000,5.8659,6.0221,1.71e+14,1.74e+14,8192000
1100,5.9770,5.9801,1.88e+14,1.91e+14,9011200
1200,5.8854,5.9420,2.05e+14,2.08e+14,9830400
1300,5.8033,5.9113,2.22e+14,2.26e+14,10649600
1400,5.9116,5.8828,2.39e+14,2.43e+14,11468800
1500,5.8754,5.8632,2.57e+14,2.60e+14,12288000
1600,5.7296,5.8456,2.74e+14,2.78e+14,13107200
1700,5.8313,5.8317,2.91e+14,2.95e+14,13926400
1800,5.7205,5.8217,3.08e+14,3.13e+14,14745600
1900,5.7497,5.8131,3.25e+14,3.30e+14,15564800
