step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,10.1832,10.1998,4.20e+13,4.23e+13,819200
200,9.0959,9.0575,8.39e+13,8.45e+13,1638400
300,8.1469,8.1241,1.26e+14,1.27e+14,2457600
400,7.6449,7.6674,1.68e+14,1.69e+14,3276800
500,7.5177,7.4407,2.10e+14,2.11e+14,4096000
600,7.2465,7.2752,2.52e+14,2.54e+14,4915200
700,7.1106,7.1353,2.94e+14,2.96e+14,5734400
800,6.9587,7.0234,3.36e+14,3.38e+14,6553600
900,7.0181,6.9345,3.78e+14,3.80e+14,7372800
1000,6.7295,6.8637,4.20e+14,4.23e+14,8192000
1100,6.8236,6.8087,4.62e+14,4.65e+14,9011200
1200,6.7857,6.7660,5.04e+14,5.07e+14,9830400
1300,6.6462,6.7311,5.46e+14,5.49e+14,10649600
1400,6.7634,6.7028,5.87e+14,5.92e+14,11468800
1500,6.6757,6.6812,6.29e+14,6.34e+14,12288000
1600,6.5981,6.6636,6.71e+14,6.76e+14,13107200
1700,6.6617,6.6519,7.13e+14,7.18e+14,13926400
1800,6.5947,6.6415,7.55e+14,7.61e+14,14745600
1900,6.6582,6.6343,7.97e+14,8.03e+14,15564800
