step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,9.5674,9.5934,1.71e+13,1.74e+13,819200
200,7.8273,7.7583,3.42e+13,3.47e+13,1638400
300,7.2912,7.2642,5.13e+13,5.21e+13,2457600
400,6.9051,6.9528,6.84e+13,6.95e+13,3276800
500,6.8430,6.7474,8.55e+13,8.68e+13,4096000
600,6.5735,6.6091,1.03e+14,1.04e+14,4915200
700,6.4696,6.5047,1.20e+14,1.22e+14,5734400
800,6.3391,6.4202,1.37e+14,1.39e+14,6553600
900,6.4170,6.3512,1.54e+14,1.56e+14,7372800
1000,6.1438,6.2955,1.71e+14,1.74e+14,8192000
1100,6.2690,6.2514,1.88e+14,1.91e+14,9011200
1200,6.1891,6.2143,2.05e+14,2.08e+14,9830400
1300,6.0795,6.1863,2.22e+14,2.26e+14,10649600
1400,6.1893,6.1598,2.39e+14,2.43e+14,11468800
1500,6.1504,6.1399,2.57e+14,2.60e+14,12288000
1600,6.0373,6.1246,2.74e+14,2.78e+14,13107200
1700,6.1206,6.1118,2.91e+14,2.95e+14,13926400
1800,6.0254,6.1028,3.08e+14,3.13e+14,14745600
1900,6.0605,6.0954,3.25e+14,3.30e+14,15564800
