step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,8.9474,8.9266,9.68e+12,1.01e+13,409600
100,7.7600,7.7020,1.96e+13,2.03e+13,819200
150,7.6902,7.7175,2.94e+13,3.04e+13,1228800
200,7.6104,7.7338,3.93e+13,4.05e+13,1638400
250,7.6158,7.7252,4.92e+13,5.07e+13,2048000
300,7.5722,7.6432,5.91e+13,6.08e+13,2457600
350,7.3507,7.5137,6.90e+13,7.09e+13,2867200
400,7.1763,7.3460,7.89e+13,8.11e+13,3276800
450,7.1242,7.1702,8.87e+13,9.12e+13,3686400
500,6.9742,7.0141,9.86e+13,1.01e+14,4096000
550,6.7637,6.8799,1.08e+14,1.11e+14,4505600
600,6.5277,6.7780,1.18e+14,1.22e+14,4915200
650,6.5099,6.6867,1.28e+14,1.32e+14,5324800
700,6.4223,6.5977,1.38e+14,1.42e+14,5734400
750,6.4174,6.5164,1.48e+14,1.52e+14,6144000
800,6.3074,6.4715,1.58e+14,1.62e+14,6553600
850,6.1014,6.4125,1.68e+14,1.72e+14,6963200
900,6.2921,6.3742,1.78e+14,1.82e+14,7372800
950,6.2864,6.3196,1.88e+14,1.93e+14,7782400
1000,6.0709,6.2912,1.97e+14,2.03e+14,8192000
1050,6.0103,6.2557,2.07e+14,2.13e+14,8601600
1100,6.0088,6.2341,2.17e+14,2.23e+14,9011200
1150,6.1468,6.1840,2.27e+14,2.33e+14,9420800
1200,5.9112,6.1703,2.37e+14,2.43e+14,9830400
1250,5.8193,6.1564,2.47e+14,2.53e+14,10240000
1300,5.7949,6.1270,2.57e+14,2.63e+14,10649600
1350,5.9024,6.0867,2.67e+14,2.74e+14,11059200
1400,5.6952,6.1045,2.76e+14,2.84e+14,11468800
1450,5.8096,6.0733,2.86e+14,2.94e+14,11878400
1500,5.7710,6.0560,2.96e+14,3.04e+14,12288000
1550,5.9450,6.0616,3.06e+14,3.14e+14,12697600
1600,5.8037,6.0526,3.16e+14,3.24e+14,13107200
1650,5.7998,6.0287,3.26e+14,3.34e+14,13516800
1700,5.8798,6.0616,3.36e+14,3.44e+14,13926400
1750,5.7807,6.0087,3.46e+14,3.55e+14,14336000
1800,5.8908,5.9969,3.56e+14,3.65e+14,14745600
1850,5.8676,6.0336,3.65e+14,3.75e+14,15155200
1900,5.8925,6.0097,3.75e+14,3.85e+14,15564800
1950,5.8533,6.0045,3.85e+14,3.95e+14,15974400
2000,5.8988,5.9734,3.95e+14,4.05e+14,16384000
2050,5.7898,5.9731,4.05e+14,4.15e+14,16793600
2100,5.8658,5.9631,4.15e+14,4.26e+14,17203200
2150,5.7666,5.9626,4.25e+14,4.36e+14,17612800
2200,5.7517,6.0163,4.35e+14,4.46e+14,18022400
2250,5.5617,5.9460,4.44e+14,4.56e+14,18432000
2300,5.8904,5.9558,4.54e+14,4.66e+14,18841600
2350,5.7263,5.9388,4.64e+14,4.76e+14,19251200
2400,5.7125,5.9189,4.74e+14,4.86e+14,19660800
2450,5.7636,5.9201,4.84e+14,4.96e+14,20070400
2500,5.7418,5.9172,4.94e+14,5.07e+14,20480000
2550,5.6990,5.9237,5.04e+14,5.17e+14,20889600
2600,5.6392,5.9109,5.14e+14,5.27e+14,21299200
2650,5.7851,5.9152,5.24e+14,5.37e+14,21708800
2700,5.6910,5.9009,5.33e+14,5.47e+14,22118400
2750,5.5368,5.8921,5.43e+14,5.57e+14,22528000
2800,5.7382,5.8807,5.53e+14,5.67e+14,22937600
2850,5.6321,5.9084,5.63e+14,5.78e+14,23347200
2900,5.6396,5.8869,5.73e+14,5.88e+14,23756800
2950,5.8662,5.8676,5.83e+14,5.98e+14,24166400
3000,5.7567,5.8763,5.93e+14,6.08e+14,24576000
3050,5.6109,5.8546,6.03e+14,6.18e+14,24985600
3100,5.6453,5.8648,6.12e+14,6.28e+14,25395200
3150,5.6033,5.8602,6.22e+14,6.38e+14,25804800
3200,5.6777,5.8565,6.32e+14,6.48e+14,26214400
3250,5.6712,5.8449,6.42e+14,6.59e+14,26624000
3300,5.6553,5.8602,6.52e+14,6.69e+14,27033600
3350,5.6919,5.8413,6.62e+14,6.79e+14,27443200
3400,5.6715,5.8277,6.72e+14,6.89e+14,27852800
3450,5.7263,5.8378,6.82e+14,6.99e+14,28262400
3500,5.6047,5.8357,6.91e+14,7.09e+14,28672000
3550,5.6044,5.8269,7.01e+14,7.19e+14,29081600
3600,5.6525,5.8195,7.11e+14,7.29e+14,29491200
3650,5.6464,5.8196,7.21e+14,7.40e+14,29900800
3700,5.5563,5.8132,7.31e+14,7.50e+14,30310400
3750,5.5970,5.8114,7.41e+14,7.60e+14,30720000
3800,5.7713,5.8083,7.51e+14,7.70e+14,31129600
3850,5.6812,5.8068,7.61e+14,7.80e+14,31539200
3900,5.5482,5.8143,7.71e+14,7.90e+14,31948800
3950,5.5448,5.8220,7.80e+14,8.00e+14,32358400
4000,5.7165,5.8002,7.90e+14,8.11e+14,32768000
4050,5.5106,5.7952,8.00e+14,8.21e+14,33177600
4100,5.5246,5.8024,8.10e+14,8.31e+14,33587200
4150,5.6374,5.8010,8.20e+14,8.41e+14,33996800
4200,5.6999,5.7988,8.30e+14,8.51e+14,34406400
4250,5.5933,5.7960,8.40e+14,8.61e+14,34816000
4300,5.5432,5.7963,8.50e+14,8.71e+14,35225600
4350,5.6926,5.8028,8.59e+14,8.81e+14,35635200
4400,5.8648,5.7876,8.69e+14,8.92e+14,36044800
4450,5.4961,5.8130,8.79e+14,9.02e+14,36454400
4500,5.6579,5.8082,8.89e+14,9.12e+14,36864000
4550,5.5112,5.7844,8.99e+14,9.22e+14,37273600
4600,5.6545,5.7760,9.09e+14,9.32e+14,37683200
4650,5.6118,5.7771,9.19e+14,9.42e+14,38092800
4700,5.5413,5.7764,9.29e+14,9.52e+14,38502400
4750,5.4625,5.7821,9.39e+14,9.63e+14,38912000
4800,5.5085,5.7849,9.48e+14,9.73e+14,39321600
4850,5.5853,5.7738,9.58e+14,9.83e+14,39731200
4900,5.6979,5.7648,9.68e+14,9.93e+14,40140800
4950,5.5175,5.7800,9.78e+14,1.00e+15,40550400
5000,5.5120,5.7798,9.88e+14,1.01e+15,40960000
5050,5.6114,5.7618,9.98e+14,1.02e+15,41369600
5100,5.5562,5.7547,1.01e+15,1.03e+15,41779200
5150,5.5327,5.7690,1.02e+15,1.04e+15,42188800
5200,5.4733,5.7552,1.03e+15,1.05e+15,42598400
5250,5.5391,5.7558,1.04e+15,1.06e+15,43008000
5300,5.5106,5.7676,1.05e+15,1.07e+15,43417600
5350,5.5936,5.7388,1.06e+15,1.08e+15,43827200
5400,5.6086,5.7394,1.07e+15,1.09e+15,44236800
5450,5.5686,5.7624,1.08e+15,1.10e+15,44646400
5500,5.5184,5.7410,1.09e+15,1.11e+15,45056000
5550,5.5407,5.7622,1.10e+15,1.12e+15,45465600
5600,5.5888,5.7540,1.11e+15,1.13e+15,45875200
5650,5.5494,5.7414,1.12e+15,1.14e+15,46284800
5700,5.4892,5.7430,1.13e+15,1.16e+15,46694400
5750,5.4834,5.7384,1.14e+15,1.17e+15,47104000
5800,5.5312,5.7528,1.15e+15,1.18e+15,47513600
5850,5.4896,5.7494,1.16e+15,1.19e+15,47923200
5900,5.4755,5.7354,1.17e+15,1.20e+15,48332800
5950,5.5432,5.7431,1.18e+15,1.21e+15,48742400
6000,5.5450,5.7420,1.19e+15,1.22e+15,49152000
6050,5.6054,5.7327,1.20e+15,1.23e+15,49561600
6100,5.5963,5.7288,1.21e+15,1.24e+15,49971200
6150,5.6948,5.7358,1.22e+15,1.25e+15,50380800
6200,5.5529,5.7151,1.23e+15,1.26e+15,50790400
6250,5.5697,5.7220,1.23e+15,1.27e+15,51200000
6300,5.4693,5.7125,1.24e+15,1.28e+15,51609600
6350,5.5956,5.7479,1.25e+15,1.29e+15,52019200
6400,5.6692,5.7244,1.26e+15,1.30e+15,52428800
6450,5.4357,5.7151,1.27e+15,1.31e+15,52838400
6500,5.5339,5.7309,1.28e+15,1.32e+15,53248000
6550,5.5879,5.7087,1.29e+15,1.33e+15,53657600
6600,5.6297,5.7425,1.30e+15,1.34e+15,54067200
6650,5.4890,5.7224,1.31e+15,1.35e+15,54476800
6700,5.5340,5.7287,1.32e+15,1.36e+15,54886400
6750,5.6944,5.7161,1.33e+15,1.37e+15,55296000
6800,5.5750,5.7136,1.34e+15,1.38e+15,55705600
6850,5.4814,5.7266,1.35e+15,1.39e+15,56115200
6900,5.5892,5.7074,1.36e+15,1.40e+15,56524800
6950,5.6014,5.7192,1.37e+15,1.41e+15,56934400
7000,5.5929,5.7074,1.38e+15,1.42e+15,57344000
7050,5.6423,5.6937,1.39e+15,1.43e+15,57753600
7100,5.5574,5.7015,1.40e+15,1.44e+15,58163200
7150,5.4503,5.7001,1.41e+15,1.45e+15,58572800
7200,5.4595,5.6995,1.42e+15,1.46e+15,58982400
7250,5.5112,5.7016,1.43e+15,1.47e+15,59392000
7300,5.6225,5.7053,1.44e+15,1.48e+15,59801600
7350,5.6085,5.6937,1.45e+15,1.49e+15,60211200
7400,5.5434,5.6990,1.46e+15,1.50e+15,60620800
7450,5.4642,5.6938,1.47e+15,1.51e+15,61030400
7500,5.6588,5.6839,1.48e+15,1.52e+15,61440000
7550,5.5468,5.7000,1.49e+15,1.53e+15,61849600
7600,5.4724,5.6971,1.50e+15,1.54e+15,62259200
7650,5.5513,5.6820,1.51e+15,1.55e+15,62668800
7700,5.5826,5.6852,1.52e+15,1.56e+15,63078400
7750,5.5146,5.6776,1.53e+15,1.57e+15,63488000
7800,5.4829,5.6839,1.54e+15,1.58e+15,63897600
7850,5.5160,5.6730,1.55e+15,1.59e+15,64307200
7900,5.6022,5.6756,1.56e+15,1.60e+15,64716800
7950,5.6130,5.6780,1.57e+15,1.61e+15,65126400
8000,5.6568,5.6708,1.58e+15,1.62e+15,65536000
8050,5.5271,5.6614,1.59e+15,1.63e+15,65945600
8100,5.4744,5.6808,1.60e+15,1.64e+15,66355200
8150,5.6415,5.6601,1.61e+15,1.65e+15,66764800
8200,5.4896,5.6661,1.62e+15,1.66e+15,67174400
8250,5.4641,5.6607,1.63e+15,1.67e+15,67584000
8300,5.5489,5.6582,1.64e+15,1.68e+15,67993600
8350,5.6910,5.6655,1.65e+15,1.69e+15,68403200
8400,5.5625,5.6675,1.66e+15,1.70e+15,68812800
8450,5.5267,5.6729,1.67e+15,1.71e+15,69222400
8500,5.5983,5.6559,1.68e+15,1.72e+15,69632000
8550,5.5543,5.6611,1.69e+15,1.73e+15,70041600
8600,5.4346,5.6617,1.70e+15,1.74e+15,70451200
8650,5.4078,5.6593,1.71e+15,1.75e+15,70860800
8700,5.3955,5.6683,1.72e+15,1.76e+15,71270400
8750,5.5914,5.6456,1.73e+15,1.77e+15,71680000
8800,5.4894,5.6599,1.74e+15,1.78e+15,72089600
8850,5.5787,5.6447,1.75e+15,1.79e+15,72499200
8900,5.4998,5.6481,1.76e+15,1.80e+15,72908800
8950,5.5375,5.6465,1.77e+15,1.81e+15,73318400
9000,5.5087,5.6505,1.78e+15,1.82e+15,73728000
9050,5.5644,5.6359,1.79e+15,1.83e+15,74137600
