step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
200,9.0994,9.0893,1.31e+14,1.33e+14,3276800
400,7.5952,7.6379,2.63e+14,2.65e+14,6553600
600,7.1143,7.1267,3.94e+14,3.98e+14,9830400
800,6.7509,6.6810,5.26e+14,5.30e+14,13107200
1000,6.4529,6.4274,6.57e+14,6.63e+14,16384000
1200,6.1807,6.1987,7.88e+14,7.95e+14,19660800
1400,5.9415,5.9895,9.20e+14,9.28e+14,22937600
1600,5.8480,5.8278,1.05e+15,1.06e+15,26214400
1800,5.6669,5.6957,1.18e+15,1.19e+15,29491200
2000,5.5703,5.5798,1.31e+15,1.33e+15,32768000
2200,5.4370,5.4919,1.45e+15,1.46e+15,36044800
2400,5.4763,5.4231,1.58e+15,1.59e+15,39321600
2600,5.3791,5.3650,1.71e+15,1.72e+15,42598400
2800,5.2490,5.3222,1.84e+15,1.86e+15,45875200
3000,5.2628,5.2805,1.97e+15,1.99e+15,49152000
3200,5.1998,5.2452,2.10e+15,2.12e+15,52428800
3400,5.0981,5.2137,2.23e+15,2.25e+15,55705600
3600,5.1526,5.1861,2.37e+15,2.39e+15,58982400
3800,5.1181,5.1642,2.50e+15,2.52e+15,62259200
4000,5.0762,5.1420,2.63e+15,2.65e+15,65536000
4200,5.0292,5.1224,2.76e+15,2.78e+15,68812800
4400,5.0110,5.1037,2.89e+15,2.92e+15,72089600
4600,5.0887,5.0846,3.02e+15,3.05e+15,75366400
4800,5.0502,5.0701,3.15e+15,3.18e+15,78643200
5000,5.0079,5.0548,3.28e+15,3.31e+15,81920000
5200,5.0440,5.0411,3.42e+15,3.45e+15,85196800
5400,4.9883,5.0313,3.55e+15,3.58e+15,88473600
5600,5.0022,5.0161,3.68e+15,3.71e+15,91750400
5800,4.9353,5.0066,3.81e+15,3.84e+15,95027200
6000,4.9955,4.9985,3.94e+15,3.98e+15,98304000
6200,4.9548,4.9850,4.07e+15,4.11e+15,101580800
6400,4.9513,4.9761,4.20e+15,4.24e+15,104857600
6600,4.8697,4.9726,4.34e+15,4.38e+15,108134400
6800,5.0134,4.9598,4.47e+15,4.51e+15,111411200
7000,4.8834,4.9504,4.60e+15,4.64e+15,114688000
7200,4.9327,4.9452,4.73e+15,4.77e+15,117964800
7400,4.9057,4.9393,4.86e+15,4.91e+15,121241600
7600,4.8505,4.9324,4.99e+15,5.04e+15,124518400
7800,4.9362,4.9250,5.12e+15,5.17e+15,127795200
8000,4.9206,4.9174,5.26e+15,5.30e+15,131072000
8200,4.8233,4.9146,5.39e+15,5.44e+15,134348800
8400,4.8635,4.9077,5.52e+15,5.57e+15,137625600
8600,4.9272,4.9013,5.65e+15,5.70e+15,140902400
8800,4.8794,4.8957,5.78e+15,5.83e+15,144179200
9000,4.9491,4.8909,5.91e+15,5.97e+15,147456000
9200,4.8672,4.8859,6.04e+15,6.10e+15,150732800
9400,4.9089,4.8820,6.18e+15,6.23e+15,154009600
9600,4.8262,4.8767,6.31e+15,6.36e+15,157286400
9800,4.7888,4.8720,6.44e+15,6.50e+15,160563200
10000,4.8362,4.8707,6.57e+15,6.63e+15,163840000
10200,4.8724,4.8640,6.70e+15,6.76e+15,167116800
10400,4.7396,4.8612,6.83e+15,6.89e+15,170393600
10600,4.8588,4.8580,6.96e+15,7.03e+15,173670400
10800,4.8309,4.8534,7.10e+15,7.16e+15,176947200
11000,4.7855,4.8505,7.23e+15,7.29e+15,180224000
11200,4.8211,4.8480,7.36e+15,7.42e+15,183500800
11400,4.7335,4.8461,7.49e+15,7.56e+15,186777600
11600,4.8395,4.8392,7.62e+15,7.69e+15,190054400
11800,4.7943,4.8383,7.75e+15,7.82e+15,193331200
12000,4.9015,4.8351,7.88e+15,7.95e+15,196608000
12200,4.7967,4.8334,8.01e+15,8.09e+15,199884800
12400,4.7042,4.8312,8.15e+15,8.22e+15,203161600
12600,4.7382,4.8283,8.28e+15,8.35e+15,206438400
12800,4.8008,4.8260,8.41e+15,8.48e+15,209715200
13000,4.7551,4.8221,8.54e+15,8.62e+15,212992000
13200,4.7747,4.8209,8.67e+15,8.75e+15,216268800
13400,4.7947,4.8156,8.80e+15,8.88e+15,219545600
13600,4.7586,4.8162,8.93e+15,9.02e+15,222822400
13800,4.7623,4.8110,9.07e+15,9.15e+15,226099200
14000,4.8046,4.8115,9.20e+15,9.28e+15,229376000
14200,4.7047,4.8058,9.33e+15,9.41e+15,232652800
14400,4.8126,4.8066,9.46e+15,9.55e+15,235929600
14600,4.7987,4.8038,9.59e+15,9.68e+15,239206400
14800,4.7531,4.8020,9.72e+15,9.81e+15,242483200
15000,4.8324,4.8012,9.85e+15,9.94e+15,245760000
15200,4.7291,4.7975,9.99e+15,1.01e+16,249036800
15400,4.7016,4.7967,1.01e+16,1.02e+16,252313600
15600,4.8299,4.7946,1.02e+16,1.03e+16,255590400
15800,4.7356,4.7924,1.04e+16,1.05e+16,258867200
16000,4.7269,4.7894,1.05e+16,1.06e+16,262144000
16200,4.7404,4.7887,1.06e+16,1.07e+16,265420800
16400,4.6307,4.7876,1.08e+16,1.09e+16,268697600
16438,5.1521,4.7875,1.08e+16,1.09e+16,269320192
