step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
200,10.2096,10.2079,2.94e+14,2.96e+14,3276800
400,9.2364,9.2204,5.88e+14,5.91e+14,6553600
600,8.1237,8.0996,8.82e+14,8.87e+14,9830400
800,7.4642,7.5148,1.18e+15,1.18e+15,13107200
1000,7.2112,7.2099,1.47e+15,1.48e+15,16384000
1200,6.8605,6.9220,1.76e+15,1.77e+15,19660800
1400,6.7172,6.7313,2.06e+15,2.07e+15,22937600
1600,6.5164,6.5901,2.35e+15,2.37e+15,26214400
1800,6.4392,6.4625,2.65e+15,2.66e+15,29491200
2000,6.3177,6.3428,2.94e+15,2.96e+15,32768000
2200,6.2620,6.2367,3.24e+15,3.25e+15,36044800
2400,6.2125,6.1303,3.53e+15,3.55e+15,39321600
2600,6.0290,6.0366,3.82e+15,3.84e+15,42598400
2800,5.8158,5.9519,4.12e+15,4.14e+15,45875200
3000,5.9273,5.8658,4.41e+15,4.43e+15,49152000
3200,5.6291,5.7927,4.71e+15,4.73e+15,52428800
3400,5.6572,5.7199,5.00e+15,5.03e+15,55705600
3600,5.5609,5.6532,5.29e+15,5.32e+15,58982400
3800,5.5063,5.5879,5.59e+15,5.62e+15,62259200
4000,5.5058,5.5254,5.88e+15,5.91e+15,65536000
4200,5.5167,5.4728,6.18e+15,6.21e+15,68812800
4400,5.3062,5.4276,6.47e+15,6.50e+15,72089600
4600,5.3425,5.3860,6.76e+15,6.80e+15,75366400
4800,5.3722,5.3444,7.06e+15,7.10e+15,78643200
5000,5.3231,5.3095,7.35e+15,7.39e+15,81920000
5200,5.2623,5.2789,7.65e+15,7.69e+15,85196800
5400,5.1732,5.2494,7.94e+15,7.98e+15,88473600
5600,5.1411,5.2232,8.24e+15,8.28e+15,91750400
5800,5.1548,5.1943,8.53e+15,8.57e+15,95027200
6000,5.0716,5.1703,8.82e+15,8.87e+15,98304000
6200,5.0563,5.1501,9.12e+15,9.17e+15,101580800
6400,5.0046,5.1274,9.41e+15,9.46e+15,104857600
6600,5.1661,5.1078,9.71e+15,9.76e+15,108134400
6800,5.1052,5.0874,1.00e+16,1.01e+16,111411200
7000,5.0915,5.0733,1.03e+16,1.03e+16,114688000
7200,5.1210,5.0557,1.06e+16,1.06e+16,117964800
7400,5.1214,5.0402,1.09e+16,1.09e+16,121241600
7600,4.8902,5.0256,1.12e+16,1.12e+16,124518400
7800,4.9156,5.0080,1.15e+16,1.15e+16,127795200
8000,5.0320,4.9948,1.18e+16,1.18e+16,131072000
8200,4.8021,4.9817,1.21e+16,1.21e+16,134348800
8400,4.9126,4.9705,1.24e+16,1.24e+16,137625600
8600,5.0372,4.9565,1.26e+16,1.27e+16,140902400
8800,4.8741,4.9438,1.29e+16,1.30e+16,144179200
9000,4.9254,4.9348,1.32e+16,1.33e+16,147456000
9200,4.8375,4.9221,1.35e+16,1.36e+16,150732800
9400,4.9446,4.9145,1.38e+16,1.39e+16,154009600
9600,4.9886,4.9000,1.41e+16,1.42e+16,157286400
9800,4.9277,4.8910,1.44e+16,1.45e+16,160563200
10000,4.7920,4.8821,1.47e+16,1.48e+16,163840000
10200,4.7419,4.8705,1.50e+16,1.51e+16,167116800
10400,4.7668,4.8634,1.53e+16,1.54e+16,170393600
10600,4.7463,4.8551,1.56e+16,1.57e+16,173670400
10800,4.7134,4.8466,1.59e+16,1.60e+16,176947200
11000,4.8561,4.8374,1.62e+16,1.63e+16,180224000
11200,4.8070,4.8289,1.65e+16,1.66e+16,183500800
11400,4.7787,4.8222,1.68e+16,1.69e+16,186777600
11600,4.7867,4.8131,1.71e+16,1.71e+16,190054400
11800,4.8102,4.8039,1.74e+16,1.74e+16,193331200
12000,4.6583,4.7993,1.76e+16,1.77e+16,196608000
12200,4.7956,4.7903,1.79e+16,1.80e+16,199884800
12400,4.7531,4.7825,1.82e+16,1.83e+16,203161600
12600,4.7796,4.7756,1.85e+16,1.86e+16,206438400
12800,4.7862,4.7710,1.88e+16,1.89e+16,209715200
13000,4.6393,4.7620,1.91e+16,1.92e+16,212992000
13200,4.6154,4.7544,1.94e+16,1.95e+16,216268800
13400,4.8120,4.7508,1.97e+16,1.98e+16,219545600
13600,4.5293,4.7446,2.00e+16,2.01e+16,222822400
13800,4.8181,4.7359,2.03e+16,2.04e+16,226099200
14000,4.6416,4.7326,2.06e+16,2.07e+16,229376000
14200,4.7786,4.7289,2.09e+16,2.10e+16,232652800
14400,4.5410,4.7224,2.12e+16,2.13e+16,235929600
14600,4.5196,4.7188,2.15e+16,2.16e+16,239206400
14800,4.7612,4.7126,2.18e+16,2.19e+16,242483200
15000,4.6502,4.7068,2.21e+16,2.22e+16,245760000
15200,4.6002,4.7011,2.24e+16,2.25e+16,249036800
15400,4.5661,4.6965,2.26e+16,2.28e+16,252313600
15600,4.6444,4.6923,2.29e+16,2.31e+16,255590400
15800,4.5249,4.6884,2.32e+16,2.34e+16,258867200
16000,4.4829,4.6842,2.35e+16,2.37e+16,262144000
16200,4.5895,4.6789,2.38e+16,2.39e+16,265420800
16400,4.6101,4.6738,2.41e+16,2.42e+16,268697600
16600,4.6360,4.6708,2.44e+16,2.45e+16,271974400
16800,4.4918,4.6674,2.47e+16,2.48e+16,275251200
17000,4.6174,4.6646,2.50e+16,2.51e+16,278528000
17200,4.6946,4.6615,2.53e+16,2.54e+16,281804800
17400,4.7260,4.6554,2.56e+16,2.57e+16,285081600
17600,4.5652,4.6520,2.59e+16,2.60e+16,288358400
17800,4.5241,4.6496,2.62e+16,2.63e+16,291635200
18000,4.6543,4.6483,2.65e+16,2.66e+16,294912000
18200,4.6231,4.6440,2.68e+16,2.69e+16,298188800
18400,4.6354,4.6400,2.71e+16,2.72e+16,301465600
18600,4.6353,4.6373,2.74e+16,2.75e+16,304742400
18800,4.5822,4.6342,2.76e+16,2.78e+16,308019200
19000,4.5662,4.6298,2.79e+16,2.81e+16,311296000
19200,4.6769,4.6270,2.82e+16,2.84e+16,314572800
19400,4.5607,4.6246,2.85e+16,2.87e+16,317849600
19600,4.5777,4.6222,2.88e+16,2.90e+16,321126400
19800,4.5207,4.6189,2.91e+16,2.93e+16,324403200
20000,4.6199,4.6155,2.94e+16,2.96e+16,327680000
20200,4.5590,4.6120,2.97e+16,2.99e+16,330956800
20400,4.5356,4.6089,3.00e+16,3.02e+16,334233600
20600,4.5081,4.6074,3.03e+16,3.05e+16,337510400
20800,4.5932,4.6054,3.06e+16,3.07e+16,340787200
21000,4.6164,4.6011,3.09e+16,3.10e+16,344064000
21200,4.6192,4.6002,3.12e+16,3.13e+16,347340800
21400,4.6163,4.5978,3.15e+16,3.16e+16,350617600
21600,4.5555,4.5988,3.18e+16,3.19e+16,353894400
21800,4.6188,4.5938,3.21e+16,3.22e+16,357171200
22000,4.5357,4.5908,3.24e+16,3.25e+16,360448000
22200,4.4450,4.5872,3.26e+16,3.28e+16,363724800
22400,4.5905,4.5864,3.29e+16,3.31e+16,367001600
22600,4.4930,4.5845,3.32e+16,3.34e+16,370278400
22800,4.5658,4.5814,3.35e+16,3.37e+16,373555200
23000,4.5012,4.5806,3.38e+16,3.40e+16,376832000
23200,4.5873,4.5790,3.41e+16,3.43e+16,380108800
23400,4.5396,4.5757,3.44e+16,3.46e+16,383385600
23600,4.6235,4.5732,3.47e+16,3.49e+16,386662400
23800,4.5161,4.5731,3.50e+16,3.52e+16,389939200
24000,4.5187,4.5697,3.53e+16,3.55e+16,393216000
24200,4.6227,4.5663,3.56e+16,3.58e+16,396492800
24400,4.5594,4.5640,3.59e+16,3.61e+16,399769600
24600,4.5872,4.5638,3.62e+16,3.64e+16,403046400
24800,4.4130,4.5619,3.65e+16,3.67e+16,406323200
25000,4.3680,4.5595,3.68e+16,3.70e+16,409600000
25200,4.4851,4.5604,3.71e+16,3.73e+16,412876800
25400,4.5895,4.5546,3.74e+16,3.75e+16,416153600
25600,4.5971,4.5528,3.76e+16,3.78e+16,419430400
25800,4.5708,4.5510,3.79e+16,3.81e+16,422707200
26000,4.4161,4.5504,3.82e+16,3.84e+16,425984000
26200,4.5761,4.5505,3.85e+16,3.87e+16,429260800
26400,4.4062,4.5478,3.88e+16,3.90e+16,432537600
26600,4.6299,4.5446,3.91e+16,3.93e+16,435814400
26800,4.5322,4.5442,3.94e+16,3.96e+16,439091200
27000,4.6007,4.5425,3.97e+16,3.99e+16,442368000
27200,4.4827,4.5413,4.00e+16,4.02e+16,445644800
27400,4.3772,4.5380,4.03e+16,4.05e+16,448921600
27600,4.4526,4.5383,4.06e+16,4.08e+16,452198400
27800,4.4089,4.5366,4.09e+16,4.11e+16,455475200
28000,4.5421,4.5359,4.12e+16,4.14e+16,458752000
28200,4.4618,4.5321,4.15e+16,4.17e+16,462028800
28400,4.6387,4.5317,4.18e+16,4.20e+16,465305600
28600,4.3717,4.5294,4.21e+16,4.23e+16,468582400
28800,4.3789,4.5283,4.24e+16,4.26e+16,471859200
29000,4.5967,4.5277,4.26e+16,4.29e+16,475136000
29200,4.3158,4.5283,4.29e+16,4.32e+16,478412800
29400,4.3986,4.5245,4.32e+16,4.35e+16,481689600
29600,4.5650,4.5237,4.35e+16,4.38e+16,484966400
29800,4.5121,4.5216,4.38e+16,4.41e+16,488243200
30000,4.4266,4.5207,4.41e+16,4.43e+16,491520000
30200,4.4029,4.5181,4.44e+16,4.46e+16,494796800
30400,4.3903,4.5189,4.47e+16,4.49e+16,498073600
30600,4.2645,4.5184,4.50e+16,4.52e+16,501350400
30800,4.4347,4.5171,4.53e+16,4.55e+16,504627200
31000,4.5270,4.5145,4.56e+16,4.58e+16,507904000
31200,4.4090,4.5128,4.59e+16,4.61e+16,511180800
31400,4.4897,4.5128,4.62e+16,4.64e+16,514457600
31600,4.4875,4.5119,4.65e+16,4.67e+16,517734400
31800,4.5019,4.5091,4.68e+16,4.70e+16,521011200
32000,4.4440,4.5104,4.71e+16,4.73e+16,524288000
32200,4.4528,4.5089,4.74e+16,4.76e+16,527564800
32400,4.4145,4.5057,4.76e+16,4.79e+16,530841600
32600,4.5165,4.5046,4.79e+16,4.82e+16,534118400
32800,4.5861,4.5030,4.82e+16,4.85e+16,537395200
33000,4.3856,4.5025,4.85e+16,4.88e+16,540672000
33200,4.4054,4.5008,4.88e+16,4.91e+16,543948800
33400,4.4298,4.4994,4.91e+16,4.94e+16,547225600
33600,4.4316,4.4990,4.94e+16,4.97e+16,550502400
33800,4.3996,4.4981,4.97e+16,5.00e+16,553779200
34000,4.5040,4.4984,5.00e+16,5.03e+16,557056000
34200,4.5287,4.4960,5.03e+16,5.06e+16,560332800
34400,4.4894,4.4946,5.06e+16,5.09e+16,563609600
34600,4.4611,4.4951,5.09e+16,5.12e+16,566886400
34800,4.4795,4.4924,5.12e+16,5.14e+16,570163200
35000,4.3883,4.4922,5.15e+16,5.17e+16,573440000
35200,4.4014,4.4914,5.18e+16,5.20e+16,576716800
35400,4.3526,4.4895,5.21e+16,5.23e+16,579993600
35600,4.3967,4.4894,5.24e+16,5.26e+16,583270400
35800,4.4102,4.4879,5.26e+16,5.29e+16,586547200
36000,4.3916,4.4863,5.29e+16,5.32e+16,589824000
36200,4.4033,4.4858,5.32e+16,5.35e+16,593100800
36400,4.5018,4.4859,5.35e+16,5.38e+16,596377600
36600,4.4504,4.4832,5.38e+16,5.41e+16,599654400
36641,4.8841,4.4852,5.39e+16,5.42e+16,600326144
