step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,8.2987,8.2924,5.48e+13,5.76e+13,819200
200,7.6146,7.7401,1.10e+14,1.15e+14,1638400
300,7.7460,7.7719,1.65e+14,1.73e+14,2457600
400,7.6183,7.8504,2.21e+14,2.30e+14,3276800
500,7.6084,7.8665,2.76e+14,2.88e+14,4096000
600,7.4421,7.6225,3.31e+14,3.45e+14,4915200
700,7.0684,7.4424,3.87e+14,4.03e+14,5734400
800,7.0263,7.2726,4.42e+14,4.60e+14,6553600
900,6.8786,7.2613,4.97e+14,5.18e+14,7372800
1000,6.6337,6.8684,5.53e+14,5.76e+14,8192000
1100,6.4987,6.7652,6.08e+14,6.33e+14,9011200
1200,6.3901,6.6363,6.63e+14,6.91e+14,9830400
1300,6.4262,6.5455,7.19e+14,7.48e+14,10649600
1400,6.3553,6.4861,7.74e+14,8.06e+14,11468800
1500,6.2090,6.4089,8.29e+14,8.63e+14,12288000
1600,6.1139,6.3411,8.85e+14,9.21e+14,13107200
1700,5.9794,6.2750,9.40e+14,9.79e+14,13926400
1800,5.9460,6.2195,9.95e+14,1.04e+15,14745600
1900,5.9162,6.1578,1.05e+15,1.09e+15,15564800
2000,5.7859,6.1170,1.11e+15,1.15e+15,16384000
2100,5.8348,6.0633,1.16e+15,1.21e+15,17203200
2200,5.7136,6.0310,1.22e+15,1.27e+15,18022400
2300,5.7678,5.9742,1.27e+15,1.32e+15,18841600
2400,5.5294,5.9675,1.33e+15,1.38e+15,19660800
2500,5.6541,5.9177,1.38e+15,1.44e+15,20480000
2600,5.6374,5.8922,1.44e+15,1.50e+15,21299200
2700,5.4608,5.8618,1.49e+15,1.55e+15,22118400
2800,5.5363,5.8308,1.55e+15,1.61e+15,22937600
2900,5.4849,5.7997,1.60e+15,1.67e+15,23756800
3000,5.5640,5.7899,1.66e+15,1.73e+15,24576000
3100,5.4938,5.7626,1.71e+15,1.78e+15,25395200
3200,5.4501,5.7656,1.77e+15,1.84e+15,26214400
3300,5.5664,5.7264,1.83e+15,1.90e+15,27033600
3400,5.3929,5.7388,1.88e+15,1.96e+15,27852800
3500,5.4178,5.7020,1.94e+15,2.01e+15,28672000
3600,5.5458,5.6753,1.99e+15,2.07e+15,29491200
3700,5.5183,5.6608,2.05e+15,2.13e+15,30310400
3800,5.4028,5.6511,2.10e+15,2.19e+15,31129600
3900,5.3765,5.6477,2.16e+15,2.24e+15,31948800
4000,5.2995,5.6382,2.21e+15,2.30e+15,32768000
4100,5.2309,5.6311,2.27e+15,2.36e+15,33587200
4200,5.3277,5.6128,2.32e+15,2.42e+15,34406400
4300,5.3442,5.6184,2.38e+15,2.48e+15,35225600
4400,5.4322,5.6115,2.43e+15,2.53e+15,36044800
4500,5.2228,5.6085,2.49e+15,2.59e+15,36864000
4600,5.2931,5.6013,2.54e+15,2.65e+15,37683200
4700,5.1921,5.5873,2.60e+15,2.71e+15,38502400
4800,5.2695,5.5968,2.66e+15,2.76e+15,39321600
4900,5.1974,5.5894,2.71e+15,2.82e+15,40140800
5000,5.1254,5.6255,2.77e+15,2.88e+15,40960000
5100,5.2302,5.5755,2.82e+15,2.94e+15,41779200
5200,5.2077,5.5743,2.88e+15,2.99e+15,42598400
5300,5.2528,5.5793,2.93e+15,3.05e+15,43417600
5400,5.4455,5.5638,2.99e+15,3.11e+15,44236800
5500,5.2972,5.5618,3.04e+15,3.17e+15,45056000
5600,5.3262,5.5577,3.10e+15,3.22e+15,45875200
5700,5.3571,5.5621,3.15e+15,3.28e+15,46694400
5800,5.2521,5.5437,3.21e+15,3.34e+15,47513600
5900,5.2808,5.5521,3.26e+15,3.40e+15,48332800
6000,5.3507,5.5467,3.32e+15,3.45e+15,49152000
6100,5.1320,5.5484,3.37e+15,3.51e+15,49971200
6200,5.2943,5.5432,3.43e+15,3.57e+15,50790400
6300,5.2235,5.5414,3.49e+15,3.63e+15,51609600
6400,5.2129,5.5263,3.54e+15,3.68e+15,52428800
6500,5.3453,5.5376,3.60e+15,3.74e+15,53248000
6600,5.2270,5.5261,3.65e+15,3.80e+15,54067200
6700,5.1587,5.5361,3.71e+15,3.86e+15,54886400
6800,5.1835,5.5311,3.76e+15,3.91e+15,55705600
6900,5.1269,5.5216,3.82e+15,3.97e+15,56524800
7000,5.4937,5.5099,3.87e+15,4.03e+15,57344000
7100,5.2389,5.5268,3.93e+15,4.09e+15,58163200
7200,5.2183,5.5068,3.98e+15,4.14e+15,58982400
7300,5.3006,5.4938,4.04e+15,4.20e+15,59801600
7400,5.2853,5.5069,4.09e+15,4.26e+15,60620800
7500,5.2408,5.4961,4.15e+15,4.32e+15,61440000
7600,5.2269,5.4955,4.20e+15,4.37e+15,62259200
7700,5.2882,5.4969,4.26e+15,4.43e+15,63078400
7800,5.1854,5.5035,4.32e+15,4.49e+15,63897600
7900,5.1483,5.4981,4.37e+15,4.55e+15,64716800
8000,5.2378,5.4986,4.43e+15,4.60e+15,65536000
8100,5.2049,5.4799,4.48e+15,4.66e+15,66355200
8200,5.1525,5.4840,4.54e+15,4.72e+15,67174400
8300,5.3140,5.4817,4.59e+15,4.78e+15,67993600
8400,5.1977,5.4798,4.65e+15,4.84e+15,68812800
8500,5.2582,5.4788,4.70e+15,4.89e+15,69632000
8600,5.1437,5.4750,4.76e+15,4.95e+15,70451200
8700,5.0952,5.4834,4.81e+15,5.01e+15,71270400
8800,5.2718,5.4787,4.87e+15,5.07e+15,72089600
8900,5.2594,5.4742,4.92e+15,5.12e+15,72908800
9000,5.2328,5.4785,4.98e+15,5.18e+15,73728000
9100,5.1733,5.4683,5.03e+15,5.24e+15,74547200
9200,5.1813,5.4704,5.09e+15,5.30e+15,75366400
9300,5.2868,5.4685,5.15e+15,5.35e+15,76185600
9400,5.2976,5.4628,5.20e+15,5.41e+15,77004800
9500,5.1072,5.4689,5.26e+15,5.47e+15,77824000
9600,5.3318,5.4661,5.31e+15,5.53e+15,78643200
9700,5.2539,5.4553,5.37e+15,5.58e+15,79462400
9800,5.2805,5.4471,5.42e+15,5.64e+15,80281600
9900,5.2780,5.4555,5.48e+15,5.70e+15,81100800
10000,5.2889,5.4481,5.53e+15,5.76e+15,81920000
10100,5.1411,5.4481,5.59e+15,5.81e+15,82739200
10200,5.2151,5.4469,5.64e+15,5.87e+15,83558400
10300,5.0850,5.4463,5.70e+15,5.93e+15,84377600
10400,5.2213,5.4555,5.75e+15,5.99e+15,85196800
10500,5.1937,5.4537,5.81e+15,6.04e+15,86016000
10600,5.2714,5.4488,5.86e+15,6.10e+15,86835200
10700,5.0093,5.4435,5.92e+15,6.16e+15,87654400
10800,5.1774,5.4398,5.98e+15,6.22e+15,88473600
10900,5.1132,5.4484,6.03e+15,6.27e+15,89292800
11000,5.1753,5.4378,6.09e+15,6.33e+15,90112000
11100,5.0814,5.4429,6.14e+15,6.39e+15,90931200
11200,5.2033,5.4355,6.20e+15,6.45e+15,91750400
11300,5.1384,5.4379,6.25e+15,6.50e+15,92569600
11400,5.3018,5.4340,6.31e+15,6.56e+15,93388800
11500,5.2451,5.4326,6.36e+15,6.62e+15,94208000
11600,5.2820,5.4390,6.42e+15,6.68e+15,95027200
11700,5.2343,5.4266,6.47e+15,6.73e+15,95846400
11800,5.1221,5.4338,6.53e+15,6.79e+15,96665600
11900,5.2039,5.4314,6.58e+15,6.85e+15,97484800
12000,5.1707,5.4323,6.64e+15,6.91e+15,98304000
12100,5.2336,5.4184,6.69e+15,6.97e+15,99123200
12200,5.1629,5.4168,6.75e+15,7.02e+15,99942400
12300,5.1845,5.4067,6.81e+15,7.08e+15,100761600
12400,5.1668,5.4132,6.86e+15,7.14e+15,101580800
12500,5.1913,5.4149,6.92e+15,7.20e+15,102400000
12600,5.2380,5.4082,6.97e+15,7.25e+15,103219200
12700,5.2788,5.4106,7.03e+15,7.31e+15,104038400
12800,5.2627,5.4158,7.08e+15,7.37e+15,104857600
12900,5.1100,5.4205,7.14e+15,7.43e+15,105676800
13000,5.1490,5.4159,7.19e+15,7.48e+15,106496000
13100,5.0171,5.4074,7.25e+15,7.54e+15,107315200
13200,5.1258,5.4150,7.30e+15,7.60e+15,108134400
13300,5.1699,5.4085,7.36e+15,7.66e+15,108953600
13400,5.1306,5.4064,7.41e+15,7.71e+15,109772800
13500,5.1309,5.4016,7.47e+15,7.77e+15,110592000
13600,5.2503,5.3984,7.52e+15,7.83e+15,111411200
13700,5.2922,5.4103,7.58e+15,7.89e+15,112230400
13800,5.3428,5.4009,7.64e+15,7.94e+15,113049600
13900,5.3080,5.3949,7.69e+15,8.00e+15,113868800
14000,5.1014,5.3976,7.75e+15,8.06e+15,114688000
14100,5.2324,5.4001,7.80e+15,8.12e+15,115507200
14200,5.2227,5.3974,7.86e+15,8.17e+15,116326400
14300,5.1519,5.3921,7.91e+15,8.23e+15,117145600
14400,5.2546,5.3911,7.97e+15,8.29e+15,117964800
14500,5.0606,5.3954,8.02e+15,8.35e+15,118784000
14600,5.2223,5.3968,8.08e+15,8.40e+15,119603200
14700,5.2095,5.3901,8.13e+15,8.46e+15,120422400
14800,5.2245,5.3919,8.19e+15,8.52e+15,121241600
14900,5.2554,5.3937,8.24e+15,8.58e+15,122060800
15000,5.2870,5.3913,8.30e+15,8.63e+15,122880000
15100,5.1696,5.3940,8.35e+15,8.69e+15,123699200
