step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
200,6.6376,6.9299,2.20e+14,2.38e+14,1638400
400,7.3501,7.2602,4.42e+14,4.75e+14,3276800
600,7.1677,7.3694,6.63e+14,7.13e+14,4915200
800,7.1078,7.4023,8.84e+14,9.51e+14,6553600
1000,7.3126,7.4579,1.11e+15,1.19e+15,8192000
1200,7.3346,7.4045,1.33e+15,1.43e+15,9830400
1400,7.1493,7.3845,1.55e+15,1.66e+15,11468800
1600,7.1840,7.2898,1.77e+15,1.90e+15,13107200
1800,7.2985,7.2051,1.99e+15,2.14e+15,14745600
2000,7.1426,7.1457,2.21e+15,2.38e+15,16384000
2200,6.9277,7.1152,2.43e+15,2.61e+15,18022400
2400,6.9508,7.0737,2.65e+15,2.85e+15,19660800
2600,7.0401,7.0451,2.88e+15,3.09e+15,21299200
2800,6.8718,7.0199,3.10e+15,3.33e+15,22937600
