step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,10.3655,10.2573,4.65e+13,5.05e+13,409600
100,8.7531,8.7494,9.39e+13,1.01e+14,819200
150,7.8795,7.8268,1.41e+14,1.51e+14,1228800
200,7.6072,7.6854,1.89e+14,2.02e+14,1638400
250,7.5797,7.6894,2.36e+14,2.52e+14,2048000
300,7.7231,7.7045,2.84e+14,3.03e+14,2457600
350,7.5395,7.7128,3.31e+14,3.53e+14,2867200
400,7.5541,7.7150,3.78e+14,4.04e+14,3276800
450,7.6176,7.7270,4.26e+14,4.54e+14,3686400
500,7.6164,7.7117,4.73e+14,5.05e+14,4096000
550,7.6434,7.6869,5.21e+14,5.55e+14,4505600
600,7.4927,7.6445,5.68e+14,6.06e+14,4915200
650,7.5566,7.5932,6.16e+14,6.56e+14,5324800
700,7.4394,7.5384,6.63e+14,7.06e+14,5734400
750,7.3052,7.4239,7.10e+14,7.57e+14,6144000
800,7.2228,7.3401,7.58e+14,8.07e+14,6553600
850,7.2142,7.2529,8.05e+14,8.58e+14,6963200
900,7.1948,7.1767,8.53e+14,9.08e+14,7372800
950,7.1695,7.1262,9.00e+14,9.59e+14,7782400
1000,6.8917,7.0327,9.48e+14,1.01e+15,8192000
1050,7.1070,6.9885,9.95e+14,1.06e+15,8601600
1100,6.9272,6.8888,1.04e+15,1.11e+15,9011200
1150,6.8178,6.8447,1.09e+15,1.16e+15,9420800
1200,6.6861,6.7735,1.14e+15,1.21e+15,9830400
1250,6.6680,6.7244,1.18e+15,1.26e+15,10240000
1300,6.4679,6.6804,1.23e+15,1.31e+15,10649600
1350,6.5105,6.6445,1.28e+15,1.36e+15,11059200
1400,6.5860,6.5995,1.33e+15,1.41e+15,11468800
1450,6.3042,6.5531,1.37e+15,1.46e+15,11878400
1500,6.3135,6.5169,1.42e+15,1.51e+15,12288000
1550,6.3935,6.4824,1.47e+15,1.56e+15,12697600
1600,6.3821,6.4460,1.52e+15,1.61e+15,13107200
1650,6.2549,6.4346,1.56e+15,1.67e+15,13516800
1700,6.2474,6.3944,1.61e+15,1.72e+15,13926400
1750,6.2744,6.4051,1.66e+15,1.77e+15,14336000
1800,6.1954,6.3221,1.71e+15,1.82e+15,14745600
1850,6.2256,6.2941,1.75e+15,1.87e+15,15155200
1900,6.1849,6.2819,1.80e+15,1.92e+15,15564800
1950,6.1781,6.2476,1.85e+15,1.97e+15,15974400
2000,6.0069,6.2320,1.90e+15,2.02e+15,16384000
2050,6.0907,6.1844,1.94e+15,2.07e+15,16793600
2100,6.1422,6.1700,1.99e+15,2.12e+15,17203200
2150,6.0277,6.1561,2.04e+15,2.17e+15,17612800
2200,5.9027,6.1295,2.09e+15,2.22e+15,18022400
2250,5.9521,6.0918,2.13e+15,2.27e+15,18432000
2300,5.9233,6.0756,2.18e+15,2.32e+15,18841600
2350,5.9927,6.0424,2.23e+15,2.37e+15,19251200
2400,5.8028,6.0445,2.28e+15,2.42e+15,19660800
2450,5.7897,6.0042,2.32e+15,2.47e+15,20070400
2500,5.7231,6.0152,2.37e+15,2.52e+15,20480000
2550,5.6822,5.9685,2.42e+15,2.57e+15,20889600
2600,5.8294,5.9474,2.47e+15,2.62e+15,21299200
2650,5.7430,5.9414,2.51e+15,2.67e+15,21708800
2700,5.7740,5.9346,2.56e+15,2.72e+15,22118400
2750,5.8459,5.8851,2.61e+15,2.78e+15,22528000
2800,5.6796,5.8877,2.66e+15,2.83e+15,22937600
2850,5.8722,5.8474,2.70e+15,2.88e+15,23347200
2900,5.7384,5.8244,2.75e+15,2.93e+15,23756800
