step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
200,7.8200,7.8803,2.20e+14,2.53e+14,1638400
400,7.2903,7.5793,4.42e+14,5.07e+14,3276800
600,7.0836,7.2008,6.63e+14,7.60e+14,4915200
800,6.8849,7.0458,8.84e+14,1.01e+15,6553600
1000,6.7463,6.9592,1.11e+15,1.27e+15,8192000
1200,6.7871,6.9226,1.33e+15,1.52e+15,9830400
1400,6.7034,6.8936,1.55e+15,1.77e+15,11468800
1600,6.7811,6.8346,1.77e+15,2.03e+15,13107200
1800,6.5015,6.7926,1.99e+15,2.28e+15,14745600
2000,6.6691,6.7565,2.21e+15,2.53e+15,16384000
2200,6.6084,6.7193,2.43e+15,2.79e+15,18022400
2400,6.6078,6.6930,2.65e+15,3.04e+15,19660800
2600,6.6321,6.6672,2.88e+15,3.30e+15,21299200
2800,6.6163,6.6463,3.10e+15,3.55e+15,22937600
3000,6.5802,6.6292,3.32e+15,3.80e+15,24576000
