step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
200,nan,nan,1.68e+14,1.69e+14,3276800
400,nan,nan,3.36e+14,3.38e+14,6553600
600,nan,nan,5.04e+14,5.07e+14,9830400
800,nan,nan,6.71e+14,6.76e+14,13107200
1000,nan,nan,8.39e+14,8.45e+14,16384000
1200,nan,nan,1.01e+15,1.01e+15,19660800
1400,nan,nan,1.17e+15,1.18e+15,22937600
1600,nan,nan,1.34e+15,1.35e+15,26214400
1800,nan,nan,1.51e+15,1.52e+15,29491200
2000,nan,nan,1.68e+15,1.69e+15,32768000
2200,nan,nan,1.85e+15,1.86e+15,36044800
2400,nan,nan,2.01e+15,2.03e+15,39321600
2600,nan,nan,2.18e+15,2.20e+15,42598400
2800,nan,nan,2.35e+15,2.37e+15,45875200
3000,nan,nan,2.52e+15,2.54e+15,49152000
3200,nan,nan,2.69e+15,2.70e+15,52428800
3400,nan,nan,2.85e+15,2.87e+15,55705600
3600,nan,nan,3.02e+15,3.04e+15,58982400
3800,nan,nan,3.19e+15,3.21e+15,62259200
4000,nan,nan,3.36e+15,3.38e+15,65536000
4200,nan,nan,3.52e+15,3.55e+15,68812800
4400,nan,nan,3.69e+15,3.72e+15,72089600
4600,nan,nan,3.86e+15,3.89e+15,75366400
4800,nan,nan,4.03e+15,4.06e+15,78643200
5000,nan,nan,4.20e+15,4.23e+15,81920000
5200,nan,nan,4.36e+15,4.39e+15,85196800
5400,nan,nan,4.53e+15,4.56e+15,88473600
5600,nan,nan,4.70e+15,4.73e+15,91750400
5800,nan,nan,4.87e+15,4.90e+15,95027200
6000,nan,nan,5.04e+15,5.07e+15,98304000
6200,nan,nan,5.20e+15,5.24e+15,101580800
6400,nan,nan,5.37e+15,5.41e+15,104857600
6600,nan,nan,5.54e+15,5.58e+15,108134400
6800,nan,nan,5.71e+15,5.75e+15,111411200
7000,nan,nan,5.87e+15,5.92e+15,114688000
7200,nan,nan,6.04e+15,6.08e+15,117964800
7400,nan,nan,6.21e+15,6.25e+15,121241600
7600,nan,nan,6.38e+15,6.42e+15,124518400
7800,nan,nan,6.55e+15,6.59e+15,127795200
8000,nan,nan,6.71e+15,6.76e+15,131072000
8200,nan,nan,6.88e+15,6.93e+15,134348800
8400,nan,nan,7.05e+15,7.10e+15,137625600
8600,nan,nan,7.22e+15,7.27e+15,140902400
8800,nan,nan,7.39e+15,7.44e+15,144179200
9000,nan,nan,7.55e+15,7.61e+15,147456000
9200,nan,nan,7.72e+15,7.77e+15,150732800
9400,nan,nan,7.89e+15,7.94e+15,154009600
9600,nan,nan,8.06e+15,8.11e+15,157286400
9800,nan,nan,8.22e+15,8.28e+15,160563200
10000,nan,nan,8.39e+15,8.45e+15,163840000
10200,nan,nan,8.56e+15,8.62e+15,167116800
10400,nan,nan,8.73e+15,8.79e+15,170393600
10600,nan,nan,8.90e+15,8.96e+15,173670400
10800,nan,nan,9.06e+15,9.13e+15,176947200
11000,nan,nan,9.23e+15,9.30e+15,180224000
11200,nan,nan,9.40e+15,9.46e+15,183500800
11400,nan,nan,9.57e+15,9.63e+15,186777600
11600,nan,nan,9.74e+15,9.80e+15,190054400
11800,nan,nan,9.90e+15,9.97e+15,193331200
12000,nan,nan,1.01e+16,1.01e+16,196608000
12200,nan,nan,1.02e+16,1.03e+16,199884800
12400,nan,nan,1.04e+16,1.05e+16,203161600
12600,nan,nan,1.06e+16,1.06e+16,206438400
12800,nan,nan,1.07e+16,1.08e+16,209715200
13000,nan,nan,1.09e+16,1.10e+16,212992000
13200,nan,nan,1.11e+16,1.12e+16,216268800
13400,nan,nan,1.12e+16,1.13e+16,219545600
13600,nan,nan,1.14e+16,1.15e+16,222822400
13800,nan,nan,1.16e+16,1.17e+16,226099200
14000,nan,nan,1.17e+16,1.18e+16,229376000
14200,nan,nan,1.19e+16,1.20e+16,232652800
14400,nan,nan,1.21e+16,1.22e+16,235929600
14600,nan,nan,1.23e+16,1.23e+16,239206400
14800,nan,nan,1.24e+16,1.25e+16,242483200
15000,nan,nan,1.26e+16,1.27e+16,245760000
15200,nan,nan,1.28e+16,1.28e+16,249036800
15400,nan,nan,1.29e+16,1.30e+16,252313600
15600,nan,nan,1.31e+16,1.32e+16,255590400
15800,nan,nan,1.33e+16,1.34e+16,258867200
16000,nan,nan,1.34e+16,1.35e+16,262144000
16200,nan,nan,1.36e+16,1.37e+16,265420800
16400,nan,nan,1.38e+16,1.39e+16,268697600
16600,nan,nan,1.39e+16,1.40e+16,271974400
16800,nan,nan,1.41e+16,1.42e+16,275251200
17000,nan,nan,1.43e+16,1.44e+16,278528000
17200,nan,nan,1.44e+16,1.45e+16,281804800
17400,nan,nan,1.46e+16,1.47e+16,285081600
17600,nan,nan,1.48e+16,1.49e+16,288358400
17800,nan,nan,1.49e+16,1.50e+16,291635200
18000,nan,nan,1.51e+16,1.52e+16,294912000
18200,nan,nan,1.53e+16,1.54e+16,298188800
18400,nan,nan,1.54e+16,1.55e+16,301465600
18600,nan,nan,1.56e+16,1.57e+16,304742400
18800,nan,nan,1.58e+16,1.59e+16,308019200
19000,nan,nan,1.59e+16,1.61e+16,311296000
19200,nan,nan,1.61e+16,1.62e+16,314572800
19400,nan,nan,1.63e+16,1.64e+16,317849600
19600,nan,nan,1.64e+16,1.66e+16,321126400
19800,nan,nan,1.66e+16,1.67e+16,324403200
20000,nan,nan,1.68e+16,1.69e+16,327680000
20200,nan,nan,1.70e+16,1.71e+16,330956800
20400,nan,nan,1.71e+16,1.72e+16,334233600
20600,nan,nan,1.73e+16,1.74e+16,337510400
20800,nan,nan,1.75e+16,1.76e+16,340787200
20948,nan,nan,1.76e+16,1.77e+16,343212032
