step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
200,10.2096,10.2079,2.94e+14,2.96e+14,3276800
400,9.2364,9.2204,5.88e+14,5.91e+14,6553600
600,8.1237,8.0996,8.82e+14,8.87e+14,9830400
800,7.4642,7.5148,1.18e+15,1.18e+15,13107200
1000,7.2112,7.2099,1.47e+15,1.48e+15,16384000
1200,6.8605,6.9220,1.76e+15,1.77e+15,19660800
1400,6.7172,6.7313,2.06e+15,2.07e+15,22937600
1600,6.5164,6.5901,2.35e+15,2.37e+15,26214400
1800,6.4392,6.4625,2.65e+15,2.66e+15,29491200
2000,6.3177,6.3428,2.94e+15,2.96e+15,32768000
2200,6.2620,6.2367,3.24e+15,3.25e+15,36044800
2400,6.2125,6.1303,3.53e+15,3.55e+15,39321600
2600,6.0290,6.0366,3.82e+15,3.84e+15,42598400
2800,5.8158,5.9519,4.12e+15,4.14e+15,45875200
3000,5.9273,5.8658,4.41e+15,4.43e+15,49152000
3200,5.6291,5.7927,4.71e+15,4.73e+15,52428800
3400,5.6572,5.7199,5.00e+15,5.03e+15,55705600
3600,5.5609,5.6532,5.29e+15,5.32e+15,58982400
3800,5.5063,5.5879,5.59e+15,5.62e+15,62259200
4000,5.5058,5.5254,5.88e+15,5.91e+15,65536000
4200,5.5167,5.4728,6.18e+15,6.21e+15,68812800
4400,5.3062,5.4276,6.47e+15,6.50e+15,72089600
4600,5.3425,5.3860,6.76e+15,6.80e+15,75366400
4800,5.3722,5.3444,7.06e+15,7.10e+15,78643200
5000,5.3231,5.3095,7.35e+15,7.39e+15,81920000
5200,5.2623,5.2789,7.65e+15,7.69e+15,85196800
5400,5.1732,5.2494,7.94e+15,7.98e+15,88473600
5600,5.1411,5.2232,8.24e+15,8.28e+15,91750400
5800,5.1548,5.1943,8.53e+15,8.57e+15,95027200
6000,5.0716,5.1703,8.82e+15,8.87e+15,98304000
6200,5.0563,5.1501,9.12e+15,9.17e+15,101580800
6400,5.0046,5.1274,9.41e+15,9.46e+15,104857600
6600,5.1661,5.1078,9.71e+15,9.76e+15,108134400
6800,5.1052,5.0874,1.00e+16,1.01e+16,111411200
7000,5.0915,5.0733,1.03e+16,1.03e+16,114688000
7200,5.1210,5.0557,1.06e+16,1.06e+16,117964800
7400,5.1214,5.0402,1.09e+16,1.09e+16,121241600
7600,4.8902,5.0256,1.12e+16,1.12e+16,124518400
7800,4.9156,5.0080,1.15e+16,1.15e+16,127795200
8000,5.0320,4.9948,1.18e+16,1.18e+16,131072000
8200,4.8021,4.9817,1.21e+16,1.21e+16,134348800
8400,4.9126,4.9705,1.24e+16,1.24e+16,137625600
8600,5.0372,4.9565,1.26e+16,1.27e+16,140902400
8800,4.8741,4.9438,1.29e+16,1.30e+16,144179200
9000,4.9254,4.9348,1.32e+16,1.33e+16,147456000
9200,4.8375,4.9221,1.35e+16,1.36e+16,150732800
9400,4.9446,4.9145,1.38e+16,1.39e+16,154009600
9600,4.9886,4.9000,1.41e+16,1.42e+16,157286400
9800,4.9277,4.8910,1.44e+16,1.45e+16,160563200
10000,4.7920,4.8821,1.47e+16,1.48e+16,163840000
10200,4.7419,4.8705,1.50e+16,1.51e+16,167116800
