step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
200,10.3148,10.2954,3.87e+14,3.89e+14,3276800
400,9.5855,9.5787,7.75e+14,7.77e+14,6553600
600,8.5821,8.6066,1.16e+15,1.17e+15,9830400
800,7.7646,7.7807,1.55e+15,1.55e+15,13107200
1000,7.4580,7.4084,1.94e+15,1.94e+15,16384000
1200,7.0798,7.1345,2.32e+15,2.33e+15,19660800
1400,6.8093,6.9032,2.71e+15,2.72e+15,22937600
1600,6.7750,6.7404,3.10e+15,3.11e+15,26214400
1800,6.5646,6.6181,3.49e+15,3.50e+15,29491200
2000,6.5026,6.5054,3.87e+15,3.89e+15,32768000
2200,6.3392,6.4097,4.26e+15,4.28e+15,36044800
2400,6.2648,6.3166,4.65e+15,4.66e+15,39321600
2600,6.1993,6.2246,5.03e+15,5.05e+15,42598400
2800,6.1707,6.1441,5.42e+15,5.44e+15,45875200
3000,6.0002,6.0650,5.81e+15,5.83e+15,49152000
3200,5.9873,5.9909,6.20e+15,6.22e+15,52428800
3400,5.8345,5.9171,6.58e+15,6.61e+15,55705600
3600,5.9617,5.8496,6.97e+15,7.00e+15,58982400
3800,5.5973,5.7908,7.36e+15,7.39e+15,62259200
4000,5.6996,5.7312,7.75e+15,7.77e+15,65536000
4200,5.5242,5.6758,8.13e+15,8.16e+15,68812800
4400,5.5605,5.6232,8.52e+15,8.55e+15,72089600
4600,5.5763,5.5725,8.91e+15,8.94e+15,75366400
4800,5.5842,5.5231,9.29e+15,9.33e+15,78643200
5000,5.4346,5.4722,9.68e+15,9.72e+15,81920000
5200,5.3949,5.4293,1.01e+16,1.01e+16,85196800
5400,5.3305,5.3887,1.05e+16,1.05e+16,88473600
5600,5.2571,5.3541,1.08e+16,1.09e+16,91750400
5800,5.1281,5.3171,1.12e+16,1.13e+16,95027200
6000,5.2381,5.2820,1.16e+16,1.17e+16,98304000
6200,5.1995,5.2533,1.20e+16,1.21e+16,101580800
6400,5.1358,5.2228,1.24e+16,1.24e+16,104857600
6600,5.2204,5.1966,1.28e+16,1.28e+16,108134400
6800,5.0902,5.1686,1.32e+16,1.32e+16,111411200
7000,5.1653,5.1465,1.36e+16,1.36e+16,114688000
7200,5.0466,5.1269,1.39e+16,1.40e+16,117964800
7400,5.0809,5.1038,1.43e+16,1.44e+16,121241600
7600,4.9339,5.0867,1.47e+16,1.48e+16,124518400
7800,5.0963,5.0631,1.51e+16,1.52e+16,127795200
8000,5.1004,5.0495,1.55e+16,1.55e+16,131072000
8200,5.0231,5.0291,1.59e+16,1.59e+16,134348800
8400,4.9085,5.0120,1.63e+16,1.63e+16,137625600
8600,4.9659,4.9954,1.67e+16,1.67e+16,140902400
8800,4.9378,4.9829,1.70e+16,1.71e+16,144179200
9000,4.8547,4.9657,1.74e+16,1.75e+16,147456000
