step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
50,7.8173,7.9303,1.94e+13,2.05e+13,819200
100,7.7013,7.8224,3.91e+13,4.10e+13,1638400
150,7.6665,7.8367,5.89e+13,6.16e+13,2457600
200,7.6634,7.8294,7.87e+13,8.21e+13,3276800
250,7.5031,7.6530,9.84e+13,1.03e+14,4096000
300,7.3603,7.5453,1.18e+14,1.23e+14,4915200
350,7.3020,7.4260,1.38e+14,1.44e+14,5734400
400,6.9474,7.1826,1.58e+14,1.64e+14,6553600
450,6.7964,7.0178,1.77e+14,1.85e+14,7372800
500,6.7718,6.8702,1.97e+14,2.05e+14,8192000
550,6.5991,6.8051,2.17e+14,2.26e+14,9011200
600,6.4463,6.7241,2.37e+14,2.46e+14,9830400
650,6.4603,6.6642,2.57e+14,2.67e+14,10649600
700,6.4257,6.6190,2.76e+14,2.87e+14,11468800
750,6.3822,6.5680,2.96e+14,3.08e+14,12288000
800,6.3418,6.5457,3.16e+14,3.28e+14,13107200
850,6.3461,6.4633,3.36e+14,3.49e+14,13926400
900,6.4126,6.5348,3.55e+14,3.69e+14,14745600
950,6.2793,6.4442,3.75e+14,3.90e+14,15564800
1000,6.2253,6.4492,3.95e+14,4.10e+14,16384000
1050,6.0910,6.4049,4.15e+14,4.31e+14,17203200
1100,6.1500,6.3899,4.34e+14,4.51e+14,18022400
1150,6.1571,6.3231,4.54e+14,4.72e+14,18841600
1200,6.0200,6.3189,4.74e+14,4.92e+14,19660800
1250,6.0883,6.2851,4.94e+14,5.13e+14,20480000
1300,6.1284,6.3014,5.13e+14,5.33e+14,21299200
1350,6.1157,6.2740,5.33e+14,5.54e+14,22118400
1400,6.0176,6.2802,5.53e+14,5.75e+14,22937600
1450,5.9963,6.2458,5.73e+14,5.95e+14,23756800
1500,6.0186,6.2348,5.92e+14,6.16e+14,24576000
1550,6.0171,6.2254,6.12e+14,6.36e+14,25395200
1600,5.9984,6.2154,6.32e+14,6.57e+14,26214400
1650,5.9998,6.2058,6.52e+14,6.77e+14,27033600
1700,5.9153,6.1985,6.72e+14,6.98e+14,27852800
1750,5.9135,6.1866,6.91e+14,7.18e+14,28672000
1800,6.1837,6.2522,7.11e+14,7.39e+14,29491200
1850,6.0742,6.1868,7.31e+14,7.59e+14,30310400
1900,5.9198,6.1787,7.51e+14,7.80e+14,31129600
1950,5.9501,6.1569,7.70e+14,8.00e+14,31948800
2000,6.0010,6.1525,7.90e+14,8.21e+14,32768000
2050,5.9850,6.1502,8.10e+14,8.41e+14,33587200
2100,5.9269,6.1757,8.30e+14,8.62e+14,34406400
2150,5.9070,6.1737,8.49e+14,8.82e+14,35225600
2200,5.9347,6.1933,8.69e+14,9.03e+14,36044800
2250,5.8211,6.1760,8.89e+14,9.23e+14,36864000
2300,5.9758,6.1609,9.09e+14,9.44e+14,37683200
2350,5.9608,6.1417,9.28e+14,9.64e+14,38502400
2400,5.8553,6.1401,9.48e+14,9.85e+14,39321600
2450,5.8951,6.1311,9.68e+14,1.01e+15,40140800
2500,5.9708,6.1354,9.88e+14,1.03e+15,40960000
2550,5.9536,6.1377,1.01e+15,1.05e+15,41779200
2600,5.9441,6.1133,1.03e+15,1.07e+15,42598400
2650,5.8872,6.1506,1.05e+15,1.09e+15,43417600
2700,5.9516,6.1143,1.07e+15,1.11e+15,44236800
2750,5.9608,6.1250,1.09e+15,1.13e+15,45056000
2800,5.9408,6.1174,1.11e+15,1.15e+15,45875200
2850,5.9428,6.1359,1.13e+15,1.17e+15,46694400
2900,5.8497,6.0931,1.15e+15,1.19e+15,47513600
2950,5.9380,6.1210,1.17e+15,1.21e+15,48332800
3000,5.9396,6.1110,1.19e+15,1.23e+15,49152000
3050,5.9486,6.0946,1.21e+15,1.25e+15,49971200
3100,5.9565,6.1205,1.22e+15,1.27e+15,50790400
3150,5.9566,6.0916,1.24e+15,1.29e+15,51609600
3200,5.9030,6.1022,1.26e+15,1.31e+15,52428800
3250,5.9620,6.0759,1.28e+15,1.33e+15,53248000
3300,5.8451,6.0837,1.30e+15,1.35e+15,54067200
3350,5.9152,6.0818,1.32e+15,1.37e+15,54886400
3400,5.9485,6.0880,1.34e+15,1.40e+15,55705600
3450,5.9121,6.0851,1.36e+15,1.42e+15,56524800
3500,5.8531,6.0799,1.38e+15,1.44e+15,57344000
3550,5.9153,6.0667,1.40e+15,1.46e+15,58163200
3600,5.8993,6.0832,1.42e+15,1.48e+15,58982400
3650,5.8793,6.0851,1.44e+15,1.50e+15,59801600
3700,5.9010,6.0625,1.46e+15,1.52e+15,60620800
3750,5.8388,6.0795,1.48e+15,1.54e+15,61440000
3800,5.8331,6.0585,1.50e+15,1.56e+15,62259200
3850,5.8813,6.0536,1.52e+15,1.58e+15,63078400
3900,5.9437,6.0570,1.54e+15,1.60e+15,63897600
3950,5.8850,6.0585,1.56e+15,1.62e+15,64716800
4000,5.7791,6.0427,1.58e+15,1.64e+15,65536000
4050,5.8655,6.0547,1.60e+15,1.66e+15,66355200
4100,5.8232,6.0658,1.62e+15,1.68e+15,67174400
4150,5.8582,6.0540,1.64e+15,1.70e+15,67993600
4200,5.8420,6.0273,1.66e+15,1.72e+15,68812800
4250,5.9212,6.0288,1.68e+15,1.74e+15,69632000
4300,5.8809,6.0078,1.70e+15,1.76e+15,70451200
4350,5.7218,6.0466,1.72e+15,1.79e+15,71270400
4400,5.7978,6.0179,1.74e+15,1.81e+15,72089600
4450,5.8501,6.0397,1.76e+15,1.83e+15,72908800
4500,5.8920,6.0482,1.78e+15,1.85e+15,73728000
4550,5.9339,6.0281,1.80e+15,1.87e+15,74547200
