step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
200,9.3234,9.3210,3.29e+14,3.31e+14,3276800
400,7.5391,7.5280,6.58e+14,6.61e+14,6553600
600,6.8399,6.8590,9.88e+14,9.92e+14,9830400
800,6.5111,6.4337,1.32e+15,1.32e+15,13107200
1000,6.0170,6.1658,1.65e+15,1.65e+15,16384000
1200,5.9837,5.9655,1.98e+15,1.98e+15,19660800
1400,5.7719,5.8026,2.30e+15,2.31e+15,22937600
1600,5.6554,5.6704,2.63e+15,2.64e+15,26214400
1800,5.5386,5.5597,2.96e+15,2.97e+15,29491200
2000,5.5320,5.4643,3.29e+15,3.31e+15,32768000
2200,5.3637,5.3769,3.62e+15,3.64e+15,36044800
2400,5.1822,5.3013,3.95e+15,3.97e+15,39321600
2600,5.3272,5.2390,4.28e+15,4.30e+15,42598400
2800,5.1306,5.1775,4.61e+15,4.63e+15,45875200
3000,5.0126,5.1239,4.94e+15,4.96e+15,49152000
3200,5.1101,5.0759,5.27e+15,5.29e+15,52428800
3400,4.9343,5.0399,5.60e+15,5.62e+15,55705600
3600,4.9669,4.9971,5.93e+15,5.95e+15,58982400
3800,4.9774,4.9614,6.25e+15,6.28e+15,62259200
4000,4.9399,4.9316,6.58e+15,6.61e+15,65536000
4200,4.8064,4.9047,6.91e+15,6.94e+15,68812800
4400,4.7583,4.8679,7.24e+15,7.27e+15,72089600
4600,4.7697,4.8456,7.57e+15,7.60e+15,75366400
4800,4.7600,4.8196,7.90e+15,7.93e+15,78643200
5000,4.7072,4.7992,8.23e+15,8.26e+15,81920000
5200,4.6037,4.7784,8.56e+15,8.59e+15,85196800
5400,4.7532,4.7604,8.89e+15,8.92e+15,88473600
5600,4.7838,4.7444,9.22e+15,9.26e+15,91750400
5800,4.7591,4.7279,9.55e+15,9.59e+15,95027200
6000,4.6027,4.7136,9.88e+15,9.92e+15,98304000
6200,4.7150,4.6992,1.02e+16,1.02e+16,101580800
6400,4.7614,4.6903,1.05e+16,1.06e+16,104857600
6600,4.7454,4.6746,1.09e+16,1.09e+16,108134400
6800,4.6486,4.6682,1.12e+16,1.12e+16,111411200
7000,4.5262,4.6556,1.15e+16,1.16e+16,114688000
7200,4.6276,4.6479,1.19e+16,1.19e+16,117964800
7400,4.5618,4.6371,1.22e+16,1.22e+16,121241600
7600,4.4936,4.6274,1.25e+16,1.26e+16,124518400
7800,4.6878,4.6175,1.28e+16,1.29e+16,127795200
8000,4.5918,4.6149,1.32e+16,1.32e+16,131072000
8200,4.5954,4.6052,1.35e+16,1.36e+16,134348800
8400,4.5203,4.5971,1.38e+16,1.39e+16,137625600
8600,4.5533,4.5916,1.42e+16,1.42e+16,140902400
8800,4.6084,4.5822,1.45e+16,1.45e+16,144179200
9000,4.4871,4.5759,1.48e+16,1.49e+16,147456000
9200,4.5720,4.5672,1.51e+16,1.52e+16,150732800
9400,4.4843,4.5614,1.55e+16,1.55e+16,154009600
9600,4.5635,4.5534,1.58e+16,1.59e+16,157286400
9800,4.4009,4.5514,1.61e+16,1.62e+16,160563200
10000,4.3905,4.5460,1.65e+16,1.65e+16,163840000
10200,4.4742,4.5422,1.68e+16,1.69e+16,167116800
10400,4.4424,4.5348,1.71e+16,1.72e+16,170393600
10600,4.5902,4.5311,1.74e+16,1.75e+16,173670400
10800,4.5199,4.5251,1.78e+16,1.78e+16,176947200
11000,4.6157,4.5178,1.81e+16,1.82e+16,180224000
11200,4.4644,4.5160,1.84e+16,1.85e+16,183500800
11400,4.4988,4.5111,1.88e+16,1.88e+16,186777600
11600,4.4534,4.5054,1.91e+16,1.92e+16,190054400
11800,4.5233,4.5028,1.94e+16,1.95e+16,193331200
12000,4.4404,4.4967,1.98e+16,1.98e+16,196608000
12200,4.2570,4.4934,2.01e+16,2.02e+16,199884800
12400,4.5483,4.4857,2.04e+16,2.05e+16,203161600
12600,4.2714,4.4828,2.07e+16,2.08e+16,206438400
12800,4.4177,4.4799,2.11e+16,2.12e+16,209715200
13000,4.5245,4.4738,2.14e+16,2.15e+16,212992000
13200,4.5163,4.4725,2.17e+16,2.18e+16,216268800
13400,4.5251,4.4666,2.21e+16,2.21e+16,219545600
13600,4.3480,4.4647,2.24e+16,2.25e+16,222822400
13800,4.3912,4.4587,2.27e+16,2.28e+16,226099200
14000,4.5297,4.4573,2.30e+16,2.31e+16,229376000
14200,4.5276,4.4549,2.34e+16,2.35e+16,232652800
14400,4.3964,4.4475,2.37e+16,2.38e+16,235929600
14600,4.2957,4.4445,2.40e+16,2.41e+16,239206400
14800,4.4135,4.4419,2.44e+16,2.45e+16,242483200
15000,4.4532,4.4375,2.47e+16,2.48e+16,245760000
