step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
200,6.7667,6.8332,4.96e+13,5.06e+13,3276800
400,6.1333,6.1375,9.92e+13,1.01e+14,6553600
600,5.8977,5.9019,1.49e+14,1.52e+14,9830400
800,5.7214,5.7554,1.98e+14,2.03e+14,13107200
1000,5.5919,5.6661,2.48e+14,2.53e+14,16384000
1200,5.6088,5.6132,2.98e+14,3.04e+14,19660800
1400,5.5645,5.5663,3.47e+14,3.54e+14,22937600
1600,5.4425,5.5375,3.97e+14,4.05e+14,26214400
1800,5.4722,5.5081,4.47e+14,4.56e+14,29491200
2000,5.4310,5.4873,4.96e+14,5.06e+14,32768000
2200,5.4288,5.4671,5.46e+14,5.57e+14,36044800
2400,5.2932,5.4490,5.95e+14,6.08e+14,39321600
2600,5.3654,5.4369,6.45e+14,6.58e+14,42598400
2800,5.3320,5.4253,6.95e+14,7.09e+14,45875200
3000,5.3999,5.4082,7.44e+14,7.60e+14,49152000
3200,5.4411,5.3972,7.94e+14,8.10e+14,52428800
3400,5.4113,5.3857,8.44e+14,8.61e+14,55705600
3600,5.2889,5.3725,8.93e+14,9.11e+14,58982400
3800,5.3507,5.3612,9.43e+14,9.62e+14,62259200
4000,5.2963,5.3496,9.92e+14,1.01e+15,65536000
4200,5.2616,5.3368,1.04e+15,1.06e+15,68812800
4400,5.2915,5.3286,1.09e+15,1.11e+15,72089600
4600,5.2126,5.3184,1.14e+15,1.16e+15,75366400
4800,5.3286,5.3084,1.19e+15,1.22e+15,78643200
5000,5.3275,5.3013,1.24e+15,1.27e+15,81920000
5200,5.3064,5.2938,1.29e+15,1.32e+15,85196800
5400,5.2575,5.2873,1.34e+15,1.37e+15,88473600
5600,5.2050,5.2823,1.39e+15,1.42e+15,91750400
5800,5.1795,5.2765,1.44e+15,1.47e+15,95027200
6000,5.1796,5.2734,1.49e+15,1.52e+15,98304000
6200,5.2064,5.2709,1.54e+15,1.57e+15,101580800
6283,5.5323,5.2700,1.56e+15,1.59e+15,102940672
